"location.id","location.region","date","jsa.fem"
"1-329034118","West Midlands",NA,145
"1-361112502","West Midlands","2010-10-01",135
"1-361112502","West Midlands","2012-02-01",135
"1-361112502","West Midlands","2012-11-15",135
"1-361112502","West Midlands",NA,135
"1-518907158","West Midlands","2012-11-14",135
"1-518907158","West Midlands","2012-11-14",135
"1-518907158","West Midlands",NA,135
"1-518907158","West Midlands",NA,135
"1-297145849","West Midlands","2010-10-01",110
"1-297145849","West Midlands","2011-09-07",110
"1-297145849","West Midlands",NA,110
"1-297145849","West Midlands",NA,110
"1-129459281","West Midlands","2010-10-01",110
"1-129459281","West Midlands","2010-12-20",110
"1-129459281","West Midlands","2013-02-12",110
"1-129459281","West Midlands",NA,110
"1-116046573","West Midlands","2010-10-01",90
"1-116046573","West Midlands","2011-01-27",90
"1-116046573","West Midlands","2012-08-14",90
"1-116046573","West Midlands","2012-08-14",90
"1-459287805","West Midlands","2010-10-01",115
"1-459287805","West Midlands","2012-08-14",115
"1-459287805","West Midlands","2015-07-01",115
"1-459287805","West Midlands",NA,115
"1-126417957","West Midlands","2010-10-01",95
"1-126417957","West Midlands","2010-11-15",95
"1-126417957","West Midlands",NA,95
"1-126417957","West Midlands",NA,95
"1-118035040","West Midlands","2010-10-01",90
"1-118035040","West Midlands","2011-01-07",90
"1-118035040","West Midlands","2014-08-29",90
"1-118035040","West Midlands",NA,90
"1-122285785","West Midlands","2010-10-01",110
"1-122285785","West Midlands","2010-12-08",110
"1-122285785","West Midlands","2012-03-09",110
"1-122285785","West Midlands",NA,110
"1-392043786","West Midlands","2010-10-01",105
"1-392043786","West Midlands","2012-03-08",105
"1-392043786","West Midlands",NA,105
"1-392043786","West Midlands",NA,105
"1-126236988","West Midlands","2010-10-01",110
"1-126236988","West Midlands","2010-11-26",110
"1-126236988","West Midlands",NA,110
"1-126236988","West Midlands",NA,110
"1-120814412","West Midlands","2010-10-01",50
"1-120814412","West Midlands","2011-01-24",50
"1-120814412","West Midlands",NA,50
"1-120814412","West Midlands",NA,50
"1-1100520240","West Midlands","2010-10-01",50
"1-1100520240","West Midlands","2014-01-22",50
"1-1100520240","West Midlands",NA,50
"1-1100520240","West Midlands",NA,50
"1-378764798","West Midlands","2010-10-01",105
"1-378764798","West Midlands","2012-03-21",105
"1-378764798","West Midlands","2016-07-15",105
"1-378764798","West Midlands",NA,105
"1-126629225","West Midlands","2010-10-01",110
"1-126629225","West Midlands","2010-12-22",110
"1-126629225","West Midlands","2011-09-01",110
"1-126629225","West Midlands",NA,110
"RYWY5","West Midlands","2011-03-30",95
"RYWY5","West Midlands","2011-06-06",95
"RYWY5","West Midlands","2012-02-03",95
"RYWY5","West Midlands",NA,95
"1-123893038","West Midlands","2010-10-01",130
"1-123893038","West Midlands","2010-12-01",130
"1-123893038","West Midlands","2015-04-13",130
"1-123893038","West Midlands","2015-04-13",130
"1-155055480","West Midlands","2011-01-12",135
"1-155055480","West Midlands","2011-01-12",135
"1-155055480","West Midlands",NA,135
"1-155055480","West Midlands",NA,135
"1-167263225","West Midlands","2011-03-23",135
"1-167263225","West Midlands","2011-03-23",135
"1-167263225","West Midlands",NA,135
"1-167263225","West Midlands",NA,135
"1-131663710","West Midlands","2010-10-01",130
"1-131663710","West Midlands","2010-12-06",130
"1-131663710","West Midlands",NA,130
"1-131663710","West Midlands",NA,130
"1-116741535","West Midlands","2010-10-01",135
"1-116741535","West Midlands","2011-01-21",135
"1-116741535","West Midlands",NA,135
"1-116741535","West Midlands",NA,135
"1-2623407929","West Midlands","2010-10-01",55
"1-2623407929","West Midlands","2016-05-18",55
"1-2623407929","West Midlands",NA,55
"1-2623407929","West Midlands",NA,55
"1-113524621","West Midlands","2010-10-01",90
"1-113524621","West Midlands","2011-01-10",90
"1-113524621","West Midlands",NA,90
"1-113524621","West Midlands",NA,90
"1-114658627","West Midlands","2010-10-01",80
"1-114658627","West Midlands","2010-12-07",80
"1-114658627","West Midlands",NA,80
"1-114658627","West Midlands",NA,80
"1-2577754140","West Midlands","2010-10-01",20
"1-2577754140","West Midlands","2016-05-05",20
"1-2577754140","West Midlands",NA,20
"1-2577754140","West Midlands",NA,20
"5M1M8","West Midlands","2010-04-01",25
"5M1M8","West Midlands","2011-02-14",25
"5M1M8","West Midlands","2012-10-03",25
"5M1M8","West Midlands","2012-10-03",25
"RYWY3","West Midlands","2011-03-30",25
"RYWY3","West Midlands","2011-06-06",25
"RYWY3","West Midlands","2012-02-03",25
"RYWY3","West Midlands",NA,25
"1-206809871","West Midlands","2011-04-27",80
"1-206809871","West Midlands","2011-04-27",80
"1-206809871","West Midlands",NA,80
"1-206809871","West Midlands",NA,80
"1-329034069","West Midlands","2011-01-24",75
"1-329034069","West Midlands","2011-10-28",75
"1-329034069","West Midlands",NA,75
"1-329034069","West Midlands",NA,75
"1-2513809966","West Midlands","2015-03-12",55
"1-2513809966","West Midlands","2016-04-08",55
"1-2513809966","West Midlands",NA,55
"1-2513809966","West Midlands",NA,55
"1-126629238","West Midlands","2010-10-01",80
"1-126629238","West Midlands","2010-12-22",80
"1-126629238","West Midlands","2011-09-01",80
"1-126629238","West Midlands",NA,80
"1-136032376","West Midlands","2010-12-20",80
"1-136032376","West Midlands","2010-12-20",80
"1-136032376","West Midlands",NA,80
"1-136032376","West Midlands",NA,80
"1-378764459","West Midlands","2010-10-01",70
"1-378764459","West Midlands","2012-03-21",70
"1-378764459","West Midlands","2016-09-22",70
"1-378764459","West Midlands",NA,70
"RYWD5","West Midlands","2011-03-30",75
"RYWD5","West Midlands","2011-06-06",75
"RYWD5","West Midlands","2012-02-03",75
"RYWD5","West Midlands",NA,75
"1-131813286","West Midlands","2010-10-01",80
"1-131813286","West Midlands","2010-11-10",80
"1-131813286","West Midlands","2011-10-18",80
"1-131813286","West Midlands","2011-10-18",80
"1-310172071","West Midlands","2010-10-01",75
"1-310172071","West Midlands","2011-09-30",75
"1-310172071","West Midlands",NA,75
"1-310172071","West Midlands",NA,75
"1-120423763","West Midlands","2010-10-01",105
"1-120423763","West Midlands","2011-01-20",105
"1-120423763","West Midlands",NA,105
"1-120423763","West Midlands",NA,105
"1-163565443","West Midlands","2011-01-26",45
"1-163565443","West Midlands","2011-01-26",45
"1-163565443","West Midlands",NA,45
"1-163565443","West Midlands",NA,45
"1-163565459","West Midlands","2011-01-26",45
"1-163565459","West Midlands","2011-01-26",45
"1-163565459","West Midlands",NA,45
